Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name
tripcom,Campanile Prime Paris 19 - la Villette,2770510,Paris,Perancis,3,8.4,2025-12-17,2025-12-18,19 campanile la paris prime villette
tripcom,Hôtel de Paris Opera,2770708,Paris,Perancis,2,7.8,2025-12-09,2025-12-10,de hôtel opera paris
tripcom,The Westin Surabaya,2770900,Surabaya,Indonesia,5,9.5,2025-12-09,2025-12-10,surabaya the westin
agoda,Hotel Falatehan Jakarta,2775000,Jakarta,Indonesia,5,8.2,2025-12-13,2025-12-14,falatehan jakarta
tripcom,Harbour Grand Hong Kong,2775677,Hong Kong,China,5,8.9,2025-12-14,2025-12-15,grand harbour hong kong
agoda,B&B Hotel Paris Le Bourget,2776992,Paris,Perancis,2,7.5,2025-12-12,2025-12-13,bb bourget le paris
tripcom,Ibis Paris Alesia Montparnasse,2778169,Paris,Perancis,3,7.8,2025-12-14,2025-12-15,alesia ibis montparnasse paris
agoda,Holiday Inn Express Paris - CDG Airport By IHG,2778965,Paris,Perancis,3,8.5,2025-12-11,2025-12-12,airport by cdg express holiday ihg paris
tripcom,Hotel Régence Etoile,2779007,Paris,Perancis,4,9.1,2025-12-15,2025-12-16,etoile régence
tripcom,Hôtel de Paris Opera,2780246,Paris,Perancis,2,7.8,2025-12-18,2025-12-19,de hôtel opera paris
tripcom,HOTEL MYSTAYS Nippori,2780473,Tokyo,Jepang,3,8.8,2025-12-14,2025-12-15,mystays nippori
agoda,citizenM Paris Gare de Lyon,2782668,Paris,Perancis,4,8.6,2025-12-12,2025-12-13,citizenm de gare lyon paris
tripcom,Holiday Inn Express Hong Kong Causeway Bay,2784526,Hong Kong,China,3,8.8,2025-12-09,2025-12-10,bay causeway express holiday hong kong
agoda,President Hotel,2784839,Seoul,South Korea,5,8.4,2025-12-17,2025-12-18,president
tripcom,Holiday Inn Express Singapore Katong,2786213,Singapura,Singapura,4,9.1,2025-12-13,2025-12-14,express holiday katong singapore
agoda,APA Hotel Asakusa-Ekimae,2787229,Tokyo,Jepang,4,8.7,2025-12-09,2025-12-10,apa asakusaekimae
agoda,SEOUL CUBE JONGRO,2789117,Seoul,South Korea,4,8.8,2025-12-11,2025-12-12,cube jongro seoul
tripcom,Migliore Hotel Seoul Myeongdong,2789940,Seoul,Korea Selatan,4,7.7,2025-12-14,2025-12-15,migliore myeongdong seoul
tripcom,Hotel Skypark Kingstown Dongdaemun,2790367,Seoul,Korea Selatan,4,8.9,2025-12-12,2025-12-13,dongdaemun kingstown skypark
tripcom,Holiday Inn Express Paris - Canal de La Villette,2791393,Paris,Perancis,3,8.3,2025-12-18,2025-12-19,canal de express holiday la paris villette
tiketcom,Hideaway Villas Bali - Ubud by Kanaan Hospitality,2794083,Bali,Indonesia,4,9.0,2025-12-16,2025-12-17,bali by hideaway hospitality kanaan ubud villas
tiketcom,Hideaway Villas Bali - Ubud by Kanaan Hospitality,2794083,Bali,Indonesia,4,9.0,2025-12-08,2025-12-09,bali by hideaway hospitality kanaan ubud villas
tiketcom,Hideaway Villas Bali - Ubud by Kanaan Hospitality,2794083,Bali,Indonesia,4,9.0,2025-12-14,2025-12-15,bali by hideaway hospitality kanaan ubud villas
agoda,APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower,2794759,Tokyo,Jepang,3,8.4,2025-12-12,2025-12-13,apa nishishinjukugochomeeki tower
agoda,ANTO (Formerly Paraspara Seoul),2795536,Seoul,South Korea,5,8.6,2025-12-15,2025-12-16,anto formerly paraspara seoul
agoda,Mohenic Hotel Seoul Myeongdong,2795536,Seoul,South Korea,4,8.0,2025-12-17,2025-12-18,mohenic myeongdong seoul
agoda,Shilla Stay Mapo Hongdae,2795536,Seoul,South Korea,5,8.6,2025-12-16,2025-12-17,hongdae mapo shilla stay
tripcom,Shinjuku Washington Hotel,2795824,Tokyo,Jepang,4,8.5,2025-12-12,2025-12-13,shinjuku washington
agoda,Ukkei Inn,2797689,Hong Kong,China,1,8.8,2025-12-11,2025-12-12,ukkei
agoda,B P International,2797689,Hong Kong,China,4,8.7,2025-12-13,2025-12-14,b international p
agoda,Marco Polo Hongkong Hotel,2799440,Hong Kong,China,5,8.6,2025-12-13,2025-12-14,hongkong marco polo
